State,Year,Arrivals
New South Wales,Aug-19,282800
New South Wales,Aug-23,230460
New South Wales,Aug-24,240840
New South Wales,Aug-25,293030
Victoria,Aug-19,196970
Victoria,Aug-23,146660
Victoria,Aug-24,153480
Victoria,Aug-25,173380
Queensland,Aug-19,194200
Queensland,Aug-23,141410
Queensland,Aug-24,164980
Queensland,Aug-25,173650
South Australia,Aug-19,19450
South Australia,Aug-23,14860
South Australia,Aug-24,17490
South Australia,Aug-25,17960
Western Australia,Aug-19,72990
Western Australia,Aug-23,54240
Western Australia,Aug-24,63790
Western Australia,Aug-25,76150
Tasmania,Aug-19,5950
Tasmania,Aug-23,4140
Tasmania,Aug-24,4550
Tasmania,Aug-25,5690
Northern Territory,Aug-19,8820
Northern Territory,Aug-23,4960
Northern Territory,Aug-24,5050
Northern Territory,Aug-25,6520
Australian Capital Territory,Aug-19,8000
Australian Capital Territory,Aug-23,6640
Australian Capital Territory,Aug-24,8610
Australian Capital Territory,Aug-25,6780
Australia,Aug-19,789200
Australia,Aug-23,603360
Australia,Aug-24,658810
Australia,Aug-25,753320
